policy_type,evaluation_seed,seed_index,episode_index,episode_seed,episode_return,episode_length,terminated,truncated,time_limit,time_limit_source,complete,stop_reason,action_noop,action_fire,action_right,action_left,action_distribution_json
dqn,101,0,1,101,0.0,26998,False,True,True,ale.game_truncated,True,time_limit,649,0,26207,142,"{""FIRE"": 0, ""LEFT"": 142, ""NOOP"": 649, ""RIGHT"": 26207}"
dqn,101,0,2,102,0.0,125,True,False,False,,True,terminated,10,0,115,0,"{""FIRE"": 0, ""LEFT"": 0, ""NOOP"": 10, ""RIGHT"": 115}"
dqn,101,0,3,103,0.0,125,True,False,False,,True,terminated,10,0,115,0,"{""FIRE"": 0, ""LEFT"": 0, ""NOOP"": 10, ""RIGHT"": 115}"
dqn,101,0,4,104,5.0,348,True,False,False,,True,terminated,9,9,308,22,"{""FIRE"": 9, ""LEFT"": 22, ""NOOP"": 9, ""RIGHT"": 308}"
dqn,101,0,5,105,5.0,348,True,False,False,,True,terminated,6,10,310,22,"{""FIRE"": 10, ""LEFT"": 22, ""NOOP"": 6, ""RIGHT"": 310}"
dqn,202,1,1,202,2.0,200,True,False,False,,True,terminated,10,1,181,8,"{""FIRE"": 1, ""LEFT"": 8, ""NOOP"": 10, ""RIGHT"": 181}"
dqn,202,1,2,203,9.0,400,True,False,False,,True,terminated,8,23,342,27,"{""FIRE"": 23, ""LEFT"": 27, ""NOOP"": 8, ""RIGHT"": 342}"
dqn,202,1,3,204,5.0,348,True,False,False,,True,terminated,9,9,307,23,"{""FIRE"": 9, ""LEFT"": 23, ""NOOP"": 9, ""RIGHT"": 307}"
dqn,202,1,4,205,5.0,348,True,False,False,,True,terminated,8,10,308,22,"{""FIRE"": 10, ""LEFT"": 22, ""NOOP"": 8, ""RIGHT"": 308}"
dqn,202,1,5,206,4.0,297,True,False,False,,True,terminated,6,7,267,17,"{""FIRE"": 7, ""LEFT"": 17, ""NOOP"": 6, ""RIGHT"": 267}"
dqn,303,2,1,303,0.0,125,True,False,False,,True,terminated,13,0,112,0,"{""FIRE"": 0, ""LEFT"": 0, ""NOOP"": 13, ""RIGHT"": 112}"
dqn,303,2,2,304,0.0,125,True,False,False,,True,terminated,0,0,125,0,"{""FIRE"": 0, ""LEFT"": 0, ""NOOP"": 0, ""RIGHT"": 125}"
dqn,303,2,3,305,2.0,200,True,False,False,,True,terminated,4,3,184,9,"{""FIRE"": 3, ""LEFT"": 9, ""NOOP"": 4, ""RIGHT"": 184}"
dqn,303,2,4,306,0.0,125,True,False,False,,True,terminated,0,0,125,0,"{""FIRE"": 0, ""LEFT"": 0, ""NOOP"": 0, ""RIGHT"": 125}"
dqn,303,2,5,307,5.0,348,True,False,False,,True,terminated,4,10,312,22,"{""FIRE"": 10, ""LEFT"": 22, ""NOOP"": 4, ""RIGHT"": 312}"
