policy_type,evaluation_seed,seed_index,episode_index,episode_seed,episode_return,episode_length,terminated,truncated,time_limit,time_limit_source,complete,stop_reason,action_noop,action_fire,action_right,action_left,action_distribution_json,requested_action_noop,requested_action_fire,requested_action_right,requested_action_left,executed_action_noop,executed_action_fire,executed_action_right,executed_action_left,requested_action_distribution_json,executed_action_distribution_json,auto_fire_count,auto_fire_reason_counts_json
dqn,101,0,1,101,0.0,126,True,False,False,,True,terminated,0,11,0,115,"{""FIRE"": 11, ""LEFT"": 115, ""NOOP"": 0, ""RIGHT"": 0}",0,0,0,126,0,11,0,115,"{""FIRE"": 0, ""LEFT"": 126, ""NOOP"": 0, ""RIGHT"": 0}","{""FIRE"": 11, ""LEFT"": 115, ""NOOP"": 0, ""RIGHT"": 0}",11,"{""after_life_loss"": 8, ""initial_serve"": 3}"
dqn,101,0,2,102,0.0,125,True,False,False,,True,terminated,0,10,0,115,"{""FIRE"": 10, ""LEFT"": 115, ""NOOP"": 0, ""RIGHT"": 0}",0,0,0,125,0,10,0,115,"{""FIRE"": 0, ""LEFT"": 125, ""NOOP"": 0, ""RIGHT"": 0}","{""FIRE"": 10, ""LEFT"": 115, ""NOOP"": 0, ""RIGHT"": 0}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
dqn,101,0,3,103,1.0,154,True,False,False,,True,terminated,0,10,2,142,"{""FIRE"": 10, ""LEFT"": 142, ""NOOP"": 0, ""RIGHT"": 2}",0,0,2,152,0,10,2,142,"{""FIRE"": 0, ""LEFT"": 152, ""NOOP"": 0, ""RIGHT"": 2}","{""FIRE"": 10, ""LEFT"": 142, ""NOOP"": 0, ""RIGHT"": 2}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
dqn,101,0,4,104,0.0,125,True,False,False,,True,terminated,0,10,0,115,"{""FIRE"": 10, ""LEFT"": 115, ""NOOP"": 0, ""RIGHT"": 0}",0,0,0,125,0,10,0,115,"{""FIRE"": 0, ""LEFT"": 125, ""NOOP"": 0, ""RIGHT"": 0}","{""FIRE"": 10, ""LEFT"": 115, ""NOOP"": 0, ""RIGHT"": 0}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
dqn,101,0,5,105,0.0,125,True,False,False,,True,terminated,0,10,0,115,"{""FIRE"": 10, ""LEFT"": 115, ""NOOP"": 0, ""RIGHT"": 0}",0,0,0,125,0,10,0,115,"{""FIRE"": 0, ""LEFT"": 125, ""NOOP"": 0, ""RIGHT"": 0}","{""FIRE"": 10, ""LEFT"": 115, ""NOOP"": 0, ""RIGHT"": 0}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
dqn,202,1,1,202,0.0,125,True,False,False,,True,terminated,0,10,0,115,"{""FIRE"": 10, ""LEFT"": 115, ""NOOP"": 0, ""RIGHT"": 0}",0,0,0,125,0,10,0,115,"{""FIRE"": 0, ""LEFT"": 125, ""NOOP"": 0, ""RIGHT"": 0}","{""FIRE"": 10, ""LEFT"": 115, ""NOOP"": 0, ""RIGHT"": 0}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
dqn,202,1,2,203,0.0,125,True,False,False,,True,terminated,0,10,0,115,"{""FIRE"": 10, ""LEFT"": 115, ""NOOP"": 0, ""RIGHT"": 0}",0,0,0,125,0,10,0,115,"{""FIRE"": 0, ""LEFT"": 125, ""NOOP"": 0, ""RIGHT"": 0}","{""FIRE"": 10, ""LEFT"": 115, ""NOOP"": 0, ""RIGHT"": 0}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
dqn,202,1,3,204,0.0,125,True,False,False,,True,terminated,0,10,0,115,"{""FIRE"": 10, ""LEFT"": 115, ""NOOP"": 0, ""RIGHT"": 0}",0,0,0,125,0,10,0,115,"{""FIRE"": 0, ""LEFT"": 125, ""NOOP"": 0, ""RIGHT"": 0}","{""FIRE"": 10, ""LEFT"": 115, ""NOOP"": 0, ""RIGHT"": 0}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
dqn,202,1,4,205,0.0,125,True,False,False,,True,terminated,0,10,0,115,"{""FIRE"": 10, ""LEFT"": 115, ""NOOP"": 0, ""RIGHT"": 0}",0,0,0,125,0,10,0,115,"{""FIRE"": 0, ""LEFT"": 125, ""NOOP"": 0, ""RIGHT"": 0}","{""FIRE"": 10, ""LEFT"": 115, ""NOOP"": 0, ""RIGHT"": 0}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
dqn,202,1,5,206,0.0,125,True,False,False,,True,terminated,0,10,0,115,"{""FIRE"": 10, ""LEFT"": 115, ""NOOP"": 0, ""RIGHT"": 0}",0,0,0,125,0,10,0,115,"{""FIRE"": 0, ""LEFT"": 125, ""NOOP"": 0, ""RIGHT"": 0}","{""FIRE"": 10, ""LEFT"": 115, ""NOOP"": 0, ""RIGHT"": 0}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
dqn,303,2,1,303,0.0,125,True,False,False,,True,terminated,0,10,0,115,"{""FIRE"": 10, ""LEFT"": 115, ""NOOP"": 0, ""RIGHT"": 0}",0,0,0,125,0,10,0,115,"{""FIRE"": 0, ""LEFT"": 125, ""NOOP"": 0, ""RIGHT"": 0}","{""FIRE"": 10, ""LEFT"": 115, ""NOOP"": 0, ""RIGHT"": 0}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
dqn,303,2,2,304,0.0,125,True,False,False,,True,terminated,0,10,0,115,"{""FIRE"": 10, ""LEFT"": 115, ""NOOP"": 0, ""RIGHT"": 0}",0,0,0,125,0,10,0,115,"{""FIRE"": 0, ""LEFT"": 125, ""NOOP"": 0, ""RIGHT"": 0}","{""FIRE"": 10, ""LEFT"": 115, ""NOOP"": 0, ""RIGHT"": 0}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
dqn,303,2,3,305,3.0,214,True,False,False,,True,terminated,0,10,4,200,"{""FIRE"": 10, ""LEFT"": 200, ""NOOP"": 0, ""RIGHT"": 4}",0,0,4,210,0,10,4,200,"{""FIRE"": 0, ""LEFT"": 210, ""NOOP"": 0, ""RIGHT"": 4}","{""FIRE"": 10, ""LEFT"": 200, ""NOOP"": 0, ""RIGHT"": 4}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
dqn,303,2,4,306,7.0,246,True,False,False,,True,terminated,0,10,5,231,"{""FIRE"": 10, ""LEFT"": 231, ""NOOP"": 0, ""RIGHT"": 5}",0,0,5,241,0,10,5,231,"{""FIRE"": 0, ""LEFT"": 241, ""NOOP"": 0, ""RIGHT"": 5}","{""FIRE"": 10, ""LEFT"": 231, ""NOOP"": 0, ""RIGHT"": 5}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
dqn,303,2,5,307,0.0,125,True,False,False,,True,terminated,0,10,0,115,"{""FIRE"": 10, ""LEFT"": 115, ""NOOP"": 0, ""RIGHT"": 0}",0,0,0,125,0,10,0,115,"{""FIRE"": 0, ""LEFT"": 125, ""NOOP"": 0, ""RIGHT"": 0}","{""FIRE"": 10, ""LEFT"": 115, ""NOOP"": 0, ""RIGHT"": 0}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
