policy_type,evaluation_seed,seed_index,episode_index,episode_seed,episode_return,episode_length,terminated,truncated,time_limit,time_limit_source,complete,stop_reason,action_noop,action_fire,action_right,action_left,action_distribution_json,requested_action_noop,requested_action_fire,requested_action_right,requested_action_left,executed_action_noop,executed_action_fire,executed_action_right,executed_action_left,requested_action_distribution_json,executed_action_distribution_json,auto_fire_count,auto_fire_reason_counts_json
dqn,101,0,1,101,0.0,123,True,False,False,,True,terminated,0,123,0,0,"{""FIRE"": 123, ""LEFT"": 0, ""NOOP"": 0, ""RIGHT"": 0}",0,123,0,0,0,123,0,0,"{""FIRE"": 123, ""LEFT"": 0, ""NOOP"": 0, ""RIGHT"": 0}","{""FIRE"": 123, ""LEFT"": 0, ""NOOP"": 0, ""RIGHT"": 0}",11,"{""after_life_loss"": 8, ""initial_serve"": 3}"
dqn,101,0,2,102,0.0,122,True,False,False,,True,terminated,0,122,0,0,"{""FIRE"": 122, ""LEFT"": 0, ""NOOP"": 0, ""RIGHT"": 0}",0,122,0,0,0,122,0,0,"{""FIRE"": 122, ""LEFT"": 0, ""NOOP"": 0, ""RIGHT"": 0}","{""FIRE"": 122, ""LEFT"": 0, ""NOOP"": 0, ""RIGHT"": 0}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
dqn,101,0,3,103,0.0,122,True,False,False,,True,terminated,0,122,0,0,"{""FIRE"": 122, ""LEFT"": 0, ""NOOP"": 0, ""RIGHT"": 0}",0,122,0,0,0,122,0,0,"{""FIRE"": 122, ""LEFT"": 0, ""NOOP"": 0, ""RIGHT"": 0}","{""FIRE"": 122, ""LEFT"": 0, ""NOOP"": 0, ""RIGHT"": 0}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
dqn,101,0,4,104,0.0,122,True,False,False,,True,terminated,0,122,0,0,"{""FIRE"": 122, ""LEFT"": 0, ""NOOP"": 0, ""RIGHT"": 0}",0,122,0,0,0,122,0,0,"{""FIRE"": 122, ""LEFT"": 0, ""NOOP"": 0, ""RIGHT"": 0}","{""FIRE"": 122, ""LEFT"": 0, ""NOOP"": 0, ""RIGHT"": 0}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
dqn,101,0,5,105,0.0,122,True,False,False,,True,terminated,0,122,0,0,"{""FIRE"": 122, ""LEFT"": 0, ""NOOP"": 0, ""RIGHT"": 0}",0,122,0,0,0,122,0,0,"{""FIRE"": 122, ""LEFT"": 0, ""NOOP"": 0, ""RIGHT"": 0}","{""FIRE"": 122, ""LEFT"": 0, ""NOOP"": 0, ""RIGHT"": 0}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
dqn,202,1,1,202,0.0,122,True,False,False,,True,terminated,0,122,0,0,"{""FIRE"": 122, ""LEFT"": 0, ""NOOP"": 0, ""RIGHT"": 0}",0,122,0,0,0,122,0,0,"{""FIRE"": 122, ""LEFT"": 0, ""NOOP"": 0, ""RIGHT"": 0}","{""FIRE"": 122, ""LEFT"": 0, ""NOOP"": 0, ""RIGHT"": 0}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
dqn,202,1,2,203,0.0,122,True,False,False,,True,terminated,0,122,0,0,"{""FIRE"": 122, ""LEFT"": 0, ""NOOP"": 0, ""RIGHT"": 0}",0,122,0,0,0,122,0,0,"{""FIRE"": 122, ""LEFT"": 0, ""NOOP"": 0, ""RIGHT"": 0}","{""FIRE"": 122, ""LEFT"": 0, ""NOOP"": 0, ""RIGHT"": 0}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
dqn,202,1,3,204,0.0,122,True,False,False,,True,terminated,0,122,0,0,"{""FIRE"": 122, ""LEFT"": 0, ""NOOP"": 0, ""RIGHT"": 0}",0,122,0,0,0,122,0,0,"{""FIRE"": 122, ""LEFT"": 0, ""NOOP"": 0, ""RIGHT"": 0}","{""FIRE"": 122, ""LEFT"": 0, ""NOOP"": 0, ""RIGHT"": 0}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
dqn,202,1,4,205,0.0,122,True,False,False,,True,terminated,0,122,0,0,"{""FIRE"": 122, ""LEFT"": 0, ""NOOP"": 0, ""RIGHT"": 0}",0,122,0,0,0,122,0,0,"{""FIRE"": 122, ""LEFT"": 0, ""NOOP"": 0, ""RIGHT"": 0}","{""FIRE"": 122, ""LEFT"": 0, ""NOOP"": 0, ""RIGHT"": 0}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
dqn,202,1,5,206,0.0,122,True,False,False,,True,terminated,0,122,0,0,"{""FIRE"": 122, ""LEFT"": 0, ""NOOP"": 0, ""RIGHT"": 0}",0,122,0,0,0,122,0,0,"{""FIRE"": 122, ""LEFT"": 0, ""NOOP"": 0, ""RIGHT"": 0}","{""FIRE"": 122, ""LEFT"": 0, ""NOOP"": 0, ""RIGHT"": 0}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
