policy_type,evaluation_seed,seed_index,episode_index,episode_seed,episode_return,episode_length,terminated,truncated,time_limit,time_limit_source,complete,stop_reason,action_noop,action_fire,action_right,action_left,action_distribution_json
dqn,101,0,1,101,0.0,26998,False,True,True,ale.game_truncated,True,time_limit,3,34,26961,0,"{""FIRE"": 34, ""LEFT"": 0, ""NOOP"": 3, ""RIGHT"": 26961}"
dqn,101,0,2,102,0.0,125,True,False,False,,True,terminated,0,0,125,0,"{""FIRE"": 0, ""LEFT"": 0, ""NOOP"": 0, ""RIGHT"": 125}"
dqn,101,0,3,103,0.0,125,True,False,False,,True,terminated,0,0,125,0,"{""FIRE"": 0, ""LEFT"": 0, ""NOOP"": 0, ""RIGHT"": 125}"
dqn,101,0,4,104,5.0,348,True,False,False,,True,terminated,75,22,246,5,"{""FIRE"": 22, ""LEFT"": 5, ""NOOP"": 75, ""RIGHT"": 246}"
dqn,101,0,5,105,5.0,348,True,False,False,,True,terminated,67,22,254,5,"{""FIRE"": 22, ""LEFT"": 5, ""NOOP"": 67, ""RIGHT"": 254}"
dqn,202,1,1,202,2.0,200,True,False,False,,True,terminated,5,16,179,0,"{""FIRE"": 16, ""LEFT"": 0, ""NOOP"": 5, ""RIGHT"": 179}"
dqn,202,1,2,203,9.0,400,True,False,False,,True,terminated,95,26,274,5,"{""FIRE"": 26, ""LEFT"": 5, ""NOOP"": 95, ""RIGHT"": 274}"
dqn,202,1,3,204,5.0,348,True,False,False,,True,terminated,76,22,245,5,"{""FIRE"": 22, ""LEFT"": 5, ""NOOP"": 76, ""RIGHT"": 245}"
dqn,202,1,4,205,5.0,348,True,False,False,,True,terminated,69,22,251,6,"{""FIRE"": 22, ""LEFT"": 6, ""NOOP"": 69, ""RIGHT"": 251}"
dqn,202,1,5,206,4.0,297,True,False,False,,True,terminated,51,19,224,3,"{""FIRE"": 19, ""LEFT"": 3, ""NOOP"": 51, ""RIGHT"": 224}"
dqn,303,2,1,303,0.0,125,True,False,False,,True,terminated,0,0,125,0,"{""FIRE"": 0, ""LEFT"": 0, ""NOOP"": 0, ""RIGHT"": 125}"
dqn,303,2,2,304,0.0,125,True,False,False,,True,terminated,0,0,125,0,"{""FIRE"": 0, ""LEFT"": 0, ""NOOP"": 0, ""RIGHT"": 125}"
dqn,303,2,3,305,2.0,200,True,False,False,,True,terminated,1,15,184,0,"{""FIRE"": 15, ""LEFT"": 0, ""NOOP"": 1, ""RIGHT"": 184}"
dqn,303,2,4,306,0.0,125,True,False,False,,True,terminated,0,0,125,0,"{""FIRE"": 0, ""LEFT"": 0, ""NOOP"": 0, ""RIGHT"": 125}"
dqn,303,2,5,307,5.0,348,True,False,False,,True,terminated,66,23,256,3,"{""FIRE"": 23, ""LEFT"": 3, ""NOOP"": 66, ""RIGHT"": 256}"
